Date,Open,High,Low,Close,Volume,Adj Close
01-07-2016,17924.24023,18002.38086,17916.91016,17949.36914,82160000,17949.36914
30-06-2016,17712.75977,17930.60938,17711.80078,17929.99023,133030000,17929.99023
29-06-2016,17456.01953,17704.50977,17456.01953,17694.67969,106380000,17694.67969
28-06-2016,17190.50977,17409.7207,17190.50977,17409.7207,112190000,17409.7207
27-06-2016,17355.21094,17355.21094,17063.08008,17140.24023,138740000,17140.24023
24-06-2016,17946.63086,17946.63086,17356.33984,17400.75,239000000,17400.75
23-06-2016,17844.10938,18011.07031,17844.10938,18011.07031,98070000,18011.07031
22-06-2016,17832.66992,17920.16016,17770.35938,17780.83008,89440000,17780.83008
21-06-2016,17827.33008,17877.83984,17799.80078,17829.73047,85130000,17829.73047
20-06-2016,17736.86914,17946.35938,17736.86914,17804.86914,99380000,17804.86914
17-06-2016,17733.43945,17733.43945,17602.7793,17675.16016,248680000,17675.16016
16-06-2016,17602.23047,17754.91016,17471.28906,17733.09961,91950000,17733.09961
15-06-2016,17703.65039,17762.96094,17629.00977,17640.16992,94130000,17640.16992
14-06-2016,17710.76953,17733.91992,17595.78906,17674.82031,93740000,17674.82031
13-06-2016,17830.5,17893.2793,17731.34961,17732.48047,101690000,17732.48047
10-06-2016,17938.82031,17938.82031,17812.33984,17865.33984,90540000,17865.33984
09-06-2016,17969.98047,18005.2207,17915.88086,17985.18945,69690000,17985.18945
08-06-2016,17931.91016,18016,17931.91016,18005.05078,71260000,18005.05078
07-06-2016,17936.2207,18003.23047,17936.2207,17938.2793,78750000,17938.2793
06-06-2016,17825.68945,17949.67969,17822.81055,17920.33008,71870000,17920.33008
03-06-2016,17799.80078,17833.16992,17689.67969,17807.06055,82270000,17807.06055
02-06-2016,17789.05078,17838.56055,17703.55078,17838.56055,75560000,17838.56055
01-06-2016,17754.55078,17809.17969,17664.78906,17789.66992,78530000,17789.66992
31-05-2016,17891.5,17899.24023,17724.0293,17787.19922,147390000,17787.19922
27-05-2016,17826.84961,17873.2207,17824.73047,17873.2207,73190000,17873.2207
26-05-2016,17859.51953,17888.66016,17803.82031,17828.28906,68940000,17828.28906
25-05-2016,17735.08984,17891.71094,17735.08984,17851.50977,79180000,17851.50977
24-05-2016,17525.18945,17742.58984,17525.18945,17706.05078,86480000,17706.05078
23-05-2016,17507.03906,17550.69922,17480.05078,17492.92969,87790000,17492.92969
20-05-2016,17437.32031,17571.75,17437.32031,17500.93945,111990000,17500.93945
19-05-2016,17514.16016,17514.16016,17331.07031,17435.40039,95530000,17435.40039
18-05-2016,17501.2793,17636.2207,17418.21094,17526.61914,79120000,17526.61914
17-05-2016,17701.46094,17701.46094,17469.91992,17529.98047,103260000,17529.98047
16-05-2016,17531.75977,17755.80078,17531.75977,17710.71094,88440000,17710.71094
13-05-2016,17711.11914,17734.74023,17512.48047,17535.32031,86640000,17535.32031
12-05-2016,17711.11914,17798.18945,17625.38086,17720.5,88560000,17720.5
11-05-2016,17919.0293,17919.0293,17711.05078,17711.11914,87390000,17711.11914
10-05-2016,17726.66016,17934.60938,17726.66016,17928.34961,75790000,17928.34961
